_id,jteid,persid,hhid,starthour,startime,arrhour,arrtime,dephour,deptime,jtetraveltime,jte_at,jteelapsedtime,jtedist,origLGA,destLGA,destplace,jtemode,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dur1,dur2,dur3,dur4,dur5,dur6,dur7,dur8,dur9,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,place1,place2,place3,place4,place5,place6,place7,place8,place9,purp1,purp2,purp3,purp4,purp5,purp6,purp7,purp8,purp9,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,time1,time2,time3,time4,time5,time6,time7,time8,time9,wdjtewgt_LGA,wejtewgt_LGA
1,Y12H0000101P03JTE1,Y12H0000101P03,Y12H0000101,8,500,8,520,15,940,20,0,20,3.92,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000101P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110.6,
2,Y12H0000101P04JTE1,Y12H0000101P04,Y12H0000101,8,500,8,520,15,940,20,0,20,3.92,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000101P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.17,
3,Y12H0000103P03JTE1,Y12H0000103P03,Y12H0000103,8,480,8,500,15,920,20,0,20,6.41,Whittlesea (C),Whittlesea (C),Secondary School,Vehicle Passenger,6.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000103P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.64,
4,Y12H0000103P04JTE1,Y12H0000103P04,Y12H0000103,8,480,8,500,15,920,20,0,20,6.41,Whittlesea (C),Whittlesea (C),Secondary School,Vehicle Passenger,6.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000103P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.64,
5,Y12H0000111P03JTE1,Y12H0000111P03,Y12H0000111,7,465,8,485,15,930,20,0,20,13.52,Whittlesea (C),Banyule (C),Secondary School,Public Bus,2.33,11.02,0.17,N/A,N/A,N/A,N/A,N/A,N/A,0,0,445,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Public Bus,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000111P03S01,Y12H0000111P03S02,Y12H0000111P03S03,N/A,N/A,N/A,N/A,N/A,N/A,5,14,1,N/A,N/A,N/A,N/A,N/A,N/A,114.34,
6,Y12H0000111P04JTE1,Y12H0000111P04,Y12H0000111,7,470,8,513,15,927,43,0,43,10.2,Whittlesea (C),Whittlesea (C),Secondary School,School Bus,1.53,8.64,0.03,N/A,N/A,N/A,N/A,N/A,N/A,5,0,414,N/A,N/A,N/A,N/A,N/A,N/A,Walking,School Bus,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000111P04S01,Y12H0000111P04S02,Y12H0000111P04S03,N/A,N/A,N/A,N/A,N/A,N/A,21,14,3,N/A,N/A,N/A,N/A,N/A,N/A,118.75,
7,Y12H0000126P02JTE1,Y12H0000126P02,Y12H0000126,8,500,8,535,12,750,35,0,35,4.18,Whittlesea (C),Whittlesea (C),Tertiary,Vehicle Driver,0.95,3.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pick-up or Drop-off Someone,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000126P02S01,Y12H0000126P02S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.35,
8,Y12H0000126P03JTE1,Y12H0000126P03,Y12H0000126,8,500,8,510,15,925,10,0,10,0.95,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000126P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.03,
9,Y12H0000126P04JTE1,Y12H0000126P04,Y12H0000126,8,500,8,510,15,925,10,0,10,0.95,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000126P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112.3,
10,Y12H0000224P03JTE1,Y12H0000224P03,Y12H0000224,8,490,8,501,15,918,11,0,11,4.97,Frankston (C),Frankston (C),Secondary School,Vehicle Passenger,4.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000224P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,160.79,
11,Y12H0000224P04JTE1,Y12H0000224P04,Y12H0000224,8,490,8,501,8,502,11,0,11,4.97,Frankston (C),Frankston (C),Secondary School,Vehicle Passenger,4.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000224P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,161.86,
12,Y12H0000224P05JTE1,Y12H0000224P05,Y12H0000224,8,490,8,501,8,502,11,0,11,4.97,Frankston (C),Frankston (C),Secondary School,Vehicle Passenger,4.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000224P05S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,155.85,
13,Y12H0000231P04JTE1,Y12H0000231P04,Y12H0000231,8,495,8,515,16,990,15,5,20,9.86,Frankston (C),Frankston (C),Primary School,Vehicle Passenger,1.97,7.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Food Store,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buy Something,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000231P04S01,Y12H0000231P04S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.48,
14,Y12H0000232P03JTE1,Y12H0000232P03,Y12H0000232,8,525,8,530,15,935,5,0,5,4.1,Frankston (C),Frankston (C),Primary School,Vehicle Passenger,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,405,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000232P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150.03,
15,Y12H0000303P03JTE1,Y12H0000303P03,Y12H0000303,8,520,8,525,15,935,5,0,5,0.65,Stonnington (C),Stonnington (C),Primary School,Walking,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,410,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000303P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.75,
16,Y12H0000312P04JTE1,Y12H0000312P04,Y12H0000312,7,470,8,515,15,915,45,0,45,10.12,Stonnington (C),Yarra (C),Secondary School,Train,0.95,7.34,1.83,N/A,N/A,N/A,N/A,N/A,N/A,1,1,400,N/A,N/A,N/A,N/A,N/A,N/A,Walking,Train,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Train Station,Train Station,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000312P04S01,Y12H0000312P04S02,Y12H0000312P04S03,N/A,N/A,N/A,N/A,N/A,N/A,10,13,20,N/A,N/A,N/A,N/A,N/A,N/A,70.87,
17,Y12H0000312P05JTE1,Y12H0000312P05,Y12H0000312,7,470,8,515,15,925,45,0,45,10.12,Stonnington (C),Yarra (C),Secondary School,Train,0.95,7.34,1.83,N/A,N/A,N/A,N/A,N/A,N/A,2,1,410,N/A,N/A,N/A,N/A,N/A,N/A,Walking,Train,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Train Station,Train Station,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000312P05S01,Y12H0000312P05S02,Y12H0000312P05S03,N/A,N/A,N/A,N/A,N/A,N/A,10,12,20,N/A,N/A,N/A,N/A,N/A,N/A,70.87,
18,Y12H0000317P02JTE1,Y12H0000317P02,Y12H0000317,7,450,8,495,15,955,45,0,45,6.95,Stonnington (C),Glen Eira (C),Secondary School,School Bus,0.19,6.32,0.44,N/A,N/A,N/A,N/A,N/A,N/A,1,0,460,N/A,N/A,N/A,N/A,N/A,N/A,Walking,School Bus,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000317P02S01,Y12H0000317P02S02,Y12H0000317P02S03,N/A,N/A,N/A,N/A,N/A,N/A,4,38,2,N/A,N/A,N/A,N/A,N/A,N/A,69.29,
19,Y12H0000317P03JTE1,Y12H0000317P03,Y12H0000317,8,480,8,500,15,920,20,0,20,1.54,Stonnington (C),Stonnington (C),Primary School,Bicycle,1.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bicycle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000317P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.23,
20,Y12H0000326P04JTE1,Y12H0000326P04,Y12H0000326,8,480,8,500,17,1030,20,0,20,6.59,Monash (C),Monash (C),Primary School,Vehicle Passenger,6.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000326P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.51,
21,Y12H0000336P03JTE1,Y12H0000336P03,Y12H0000336,7,460,7,477,16,1000,17,0,17,6.61,Monash (C),Monash (C),Tertiary,Vehicle Driver,6.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000336P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127.03,
22,Y12H0000337P01JTE1,Y12H0000337P01,Y12H0000337,8,520,8,525,13,780,5,0,5,1.93,Monash (C),Stonnington (C),Tertiary,Vehicle Driver,1.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000337P01S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.19,
23,Y12H0000337P02JTE1,Y12H0000337P02,Y12H0000337,8,520,8,525,13,780,5,0,5,1.93,Monash (C),Stonnington (C),Tertiary,Vehicle Passenger,1.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000337P02S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.19,
24,Y12H0000417P03JTE1,Y12H0000417P03,Y12H0000417,8,502,8,535,14,870,8,25,33,1.27,Maribyrnong (C),Maribyrnong (C),Primary School,Bicycle,0.32,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bicycle,Bicycle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Restaurant or Cafe,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Social,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000417P03S01,Y12H0000417P03S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,103.95,
25,Y12H0000423P02JTE1,Y12H0000423P02,Y12H0000423,8,535,9,540,15,930,5,0,5,0.16,Melbourne (C),Melbourne (C),Primary School,Walking,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,390,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000423P02S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152.79,
26,Y12H0001002P03JTE1,Y12H0001002P03,Y12H0001002,8,480,8,515,15,930,35,0,35,16.27,Greater Geelong (C),Greater Geelong (C),Secondary School,Vehicle Passenger,16.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001002P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115.2,
27,Y12H0001002P04JTE1,Y12H0001002P04,Y12H0001002,8,480,8,515,9,552,35,0,35,16.27,Greater Geelong (C),Greater Geelong (C),Secondary School,Vehicle Passenger,16.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001002P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,119.01,
28,Y12H0001015P04JTE1,Y12H0001015P04,Y12H0001015,8,495,8,515,17,1020,20,0,20,10.24,Greater Geelong (C),Greater Geelong (C),Secondary School,Vehicle Driver,10.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,505,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001015P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,107.16,
29,Y12H0001032P04JTE1,Y12H0001032P04,Y12H0001032,8,480,8,495,15,915,15,0,15,3.99,Greater Geelong (C),Greater Geelong (C),Secondary School,Vehicle Passenger,3.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001032P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110.04,
30,Y12H0001037P03JTE1,Y12H0001037P03,Y12H0001037,8,495,8,515,17,1055,20,0,20,14.58,Greater Geelong (C),Greater Geelong (C),Primary School,Vehicle Passenger,14.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,540,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001037P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106.64,
31,Y12H0001037P04JTE1,Y12H0001037P04,Y12H0001037,8,495,8,515,15,945,20,0,20,14.58,Greater Geelong (C),Greater Geelong (C),Primary School,Vehicle Passenger,14.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,430,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001037P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,111.56,
32,Y12H0001037P05JTE1,Y12H0001037P05,Y12H0001037,8,495,8,520,15,935,24,0,24,16.32,Greater Geelong (C),Greater Geelong (C),Primary School,Vehicle Passenger,14.58,1.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pick-up or Deliver Something,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001037P05S01,Y12H0001037P05S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.49,
33,Y12H0001039P03JTE1,Y12H0001039P03,Y12H0001039,8,510,8,515,15,930,5,0,5,0.46,Greater Geelong (C),Greater Geelong (C),Primary School,Walking,0.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001039P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.27,
34,Y12H0001039P04JTE1,Y12H0001039P04,Y12H0001039,8,510,8,515,15,930,5,0,5,0.46,Greater Geelong (C),Greater Geelong (C),Primary School,Walking,0.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0001039P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106.51,
35,Y12H0010202P04JTE1,Y12H0010202P04,Y12H0010202,8,520,8,530,15,915,10,0,10,0.44,Greater Dandenong (C),Greater Dandenong (C),Primary School,Walking,0.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0010202P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102.54,
36,Y12H0010212P03JTE1,Y12H0010212P03,Y12H0010212,8,495,8,510,15,930,15,0,15,6,Greater Dandenong (C),Kingston (C) (Vic.),Primary School,Vehicle Passenger,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0010212P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.27,
37,Y12H0010212P04JTE1,Y12H0010212P04,Y12H0010212,8,495,8,510,15,930,15,0,15,6,Greater Dandenong (C),Kingston (C) (Vic.),Primary School,Vehicle Passenger,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0010212P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.27,
38,Y12H0010214P03JTE1,Y12H0010214P03,Y12H0010214,9,540,9,570,12,750,30,0,30,4.28,Greater Dandenong (C),Greater Dandenong (C),Secondary School,Vehicle Passenger,4.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0010214P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,286.5
